Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
MoNbTaWZr,5.2,0.053632841,0.14027868,-4.096,8.160499335,3.061,179.39,294.85,121.65,86.6,64.69,179.39,73.45,193.89,0.32,179.39,71.97,190.44,0.32,179.39,72.71,192.17,0.32,0.01
NbTaTiWZr,5.4,0.048460525,0.174891656,-3.216,10.73048989,3.086,152.7,229.55,114.27,57.64,66.75,152.7,63.11,166.4,0.32,152.7,62.78,165.65,0.32,152.7,62.95,166.02,0.32,0
MoTaTiWV,4.8,0.07674167,0.083262806,-4.144,7.814116232,2.965,193.52,315.2,132.68,91.26,74.06,193.52,80.94,213.11,0.32,193.52,80.1,211.16,0.32,193.52,80.52,212.14,0.32,0.01
TaTiWVZr,5,0.077082563,0.208663485,-5.504,6.080223088,3.039,150.84,225.68,113.42,56.13,67.7,150.84,63.07,166.07,0.32,150.84,62.54,164.84,0.32,150.84,62.81,165.46,0.32,0
CrMoNbTaTi,5.2,0.053594331,0.182036547,-4.864,7.311609332,2.967,174.83,289.31,117.59,85.86,59.83,174.83,70.24,185.84,0.32,174.83,68.09,180.79,0.33,174.83,69.16,183.32,0.33,0.02
CrMoTaTiZr,4.8,0.067184433,0.166322854,-2.592,12.28437911,3.007,148.78,238.01,104.16,66.92,57.23,148.78,61.11,161.24,0.32,148.78,60.75,160.41,0.32,148.78,60.93,160.83,0.32,0
CrNbTaTiW,4.4,0.067580598,0.093331333,0.16,192.483769,2.975,182.13,295.1,125.65,84.73,68.56,182.13,75.03,197.91,0.32,182.13,74.23,196.04,0.32,182.13,74.63,196.98,0.32,0.01
CrNbTiWV,4.6,0.061947983,0.069251039,0.384,85.66542435,2.914,181.02,297.92,122.57,87.67,59.5,181.02,70.77,187.84,0.33,181.02,68.28,181.96,0.33,181.02,69.53,184.9,0.33,0.02
CrTiWVZr,4.8,0.066097605,0.206886185,-3.936,8.632970824,2.952,152.87,244.03,107.29,68.37,57.41,152.87,61.79,163.37,0.32,152.87,61.34,162.31,0.32,152.87,61.57,162.84,0.32,0
MoNbTiWZr,4.6,0.074681249,0.194760087,-3.456,9.024341536,3.047,161.26,260.67,111.55,74.56,60.25,161.26,65.97,174.16,0.32,161.26,65.26,172.5,0.32,161.26,65.61,173.33,0.32,0.01
NbTaTiWV,4.8,0.067184433,0.172415626,-2.752,12.09529225,2.999,175.57,273.74,126.49,73.63,68.74,175.57,70.7,186.99,0.32,175.57,70.62,186.8,0.32,175.57,70.66,186.9,0.32,0
CrMoNbTaV,5,0.069998725,0.216189095,-4.992,6.88503495,2.932,189.46,328.92,119.74,104.59,59.25,189.46,77.38,204.33,0.32,189.46,71.68,190.95,0.33,189.46,74.53,197.67,0.33,0.04
CrMoTaTiW,4.4,0.067580598,0.086312241,-0.288,111.9532523,2.943,202.43,344.07,131.6,106.23,78.56,202.43,89.63,234.31,0.31,202.43,87.7,229.9,0.31,202.43,88.67,232.11,0.31,0.01
CrMoTiVZr,4.6,0.073386823,0.235708632,-4.768,6.98959456,2.94,145.91,238.39,99.67,69.36,47.09,145.91,56,148.94,0.33,145.91,54.03,144.28,0.34,145.91,55.01,146.62,0.33,0.02
