Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
CrNbTiWZr,5.2,0.073700984,0.218985235,-5.616,6.29872854,3.009,150.87,241.51,105.55,67.98,56.27,150.87,60.95,161.16,0.32,150.87,60.43,159.95,0.32,150.87,60.69,160.55,0.32,0
CrMoWVZr,5.4,0.050999579,0.189528774,-5.312,7.054175338,2.939,182.32,323.12,111.92,105.6,64.46,182.32,80.92,211.46,0.31,182.32,76.36,201.02,0.32,182.32,78.64,206.26,0.31,0.03
CrNbTaTiV,5,0.072001502,0.21711103,-6,6.071345298,2.946,159.27,250.44,113.68,68.38,54.63,159.27,60.13,160.23,0.33,159.27,59.41,158.52,0.33,159.27,59.77,159.38,0.33,0.01
NbTiWVZr,4.6,0.05936725,0.195179394,-1.584,20.64742086,3.033,145.53,222.58,107,57.79,57.36,145.53,57.53,152.5,0.33,145.53,57.53,152.49,0.33,145.53,57.53,152.49,0.33,0
HfCrMoNbTa,4.8,0.054432899,0.173235345,-1.696,20.52101094,3.019,174.97,282.45,121.23,80.61,62.66,174.97,69.84,184.92,0.32,174.97,68.79,182.45,0.33,174.97,69.31,183.69,0.33,0.01
HfCrMoNbV,5,0.059719973,0.218496222,-5.296,6.776337758,2.961,174.07,284.34,118.94,82.7,53.32,174.07,65.07,173.59,0.33,174.07,62.15,166.63,0.34,174.07,63.61,170.12,0.34,0.02
HfCrMoTaW,4.4,0.048006482,0.081330099,2.656,12.71081587,2.994,197.75,330.63,131.31,99.66,78.69,197.75,87.08,227.8,0.31,197.75,85.92,225.15,0.31,197.75,86.5,226.48,0.31,0.01
HfCrMoTiW,4.6,0.057477839,0.236712663,-3.184,10.94339735,2.972,183.93,298.38,126.7,85.84,72.09,183.93,77.59,204.07,0.32,183.93,77.02,202.77,0.32,183.93,77.31,203.42,0.32,0
HfCrMoWV,4.8,0.052773002,0.215137305,-3.312,11.15395443,2.938,197.69,335.12,128.98,103.07,72.3,197.69,84.61,222.14,0.31,197.69,82.11,216.37,0.32,197.69,83.36,219.26,0.32,0.02
HfCrNbTaTi,4.6,0.05936725,0.198741902,-1.904,17.93626484,3.041,149.87,219.74,114.93,52.41,64.25,149.87,59.51,157.67,0.32,149.87,58.92,156.29,0.33,149.87,59.22,156.98,0.33,0
HfCrNbTiW,4.8,0.066381077,0.252441692,-5.664,6.220780097,3.006,165.7,256.83,120.13,68.35,66.02,165.7,66.95,177.02,0.32,165.7,66.94,176.98,0.32,165.7,66.95,177,0.32,0
HfCrNbWV,5,0.059719973,0.22766665,-5.312,7.027977858,2.97,180.31,288.76,126.09,81.34,61.96,180.31,69.71,185.26,0.33,180.31,68.49,182.37,0.33,180.31,69.1,183.82,0.33,0.01
HfCrNbVZr,4.6,0.057477839,0.241786523,-3.488,10.40393084,3.038,133.89,201.28,100.19,50.55,50,133.89,50.22,133.91,0.33,133.89,50.21,133.9,0.33,133.89,50.21,133.9,0.33,0
HfCrTaWV,4.8,0.044732951,0.177880629,-1.248,28.69809943,2.976,184.73,290.69,131.74,79.48,72.16,184.73,75.08,198.38,0.32,184.73,74.92,197.99,0.32,184.73,75,198.18,0.32,0
