Alloys,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
TiNbTaW,5,0.021126761,0.2022728,-4.5,7.476305822,3.037,179.46,279.07,129.65,74.71,74.76,179.46,74.74,196.89,0.32,179.46,74.74,196.89,0.32,179.46,74.74,196.89,0.32,0
TiMoHfTa,4.75,0.049492069,0.198145246,-2,15.31903131,3.072,154.27,228.72,117.05,55.83,73.91,154.27,66.68,174.84,0.31,154.27,65.43,171.99,0.31,154.27,66.06,173.42,0.31,0.01
TiMoHfW,5,0.055857908,0.236022291,-4.925,6.457875089,3.033,181.64,282.5,131.21,75.65,76.89,181.64,76.39,200.99,0.32,181.64,76.39,200.98,0.32,181.64,76.39,200.99,0.32,0
TiMoTaW,5.25,0.027325686,0.199450548,-5.1,6.679227936,2.996,201.05,330.26,136.44,96.91,81.77,201.05,87.82,229.98,0.31,201.05,87.22,228.6,0.31,201.05,87.52,229.29,0.31,0
TiHfTaW,4.75,0.047293052,0.242269657,-3.75,8.784083058,3.079,171.36,243.97,135.06,54.46,84.25,171.36,72.33,190.23,0.31,171.36,69.12,182.79,0.32,171.36,70.73,186.52,0.32,0.02
VCrZrNb,5,0.094356034,0.084645959,-5.5,4.841297447,2.972,135.58,220.21,93.26,63.47,36.74,135.58,47.44,127.44,0.34,135.58,44.19,119.57,0.35,135.58,45.81,123.52,0.35,0.04
VCrZrMo,5.25,0.095190396,0.175732991,-5.875,4.603884635,2.926,157.84,275.42,99.05,88.19,46.66,157.84,63.27,167.43,0.32,157.84,57.48,153.78,0.34,157.84,60.38,160.65,0.33,0.05
VCrZrHf,4.75,0.104871897,0.111946227,-7.35,3.527084521,3.023,125.25,186.04,94.86,45.59,53.09,125.25,50.09,132.59,0.32,125.25,49.81,131.94,0.32,125.25,49.95,132.27,0.32,0
VCrZrTa,5,0.094356034,0.085092919,-5.675,4.966184826,2.983,141.8,224.14,100.64,61.75,51.48,141.8,55.59,147.49,0.33,141.8,55.15,146.45,0.33,141.8,55.37,146.97,0.33,0
VCrZrW,5.25,0.094761045,0.216498352,-6.65,4.413544524,2.941,166.33,279.77,109.61,85.08,56.67,166.33,68.04,179.62,0.32,166.33,65.41,173.48,0.33,166.33,66.72,176.56,0.32,0.02
VCrNbMo,5.5,0.048650764,0.130765987,-3.875,7.44259639,2.882,195.73,366.58,110.31,128.14,63.87,195.73,89.58,233.16,0.3,195.73,79.9,210.99,0.32,195.73,84.74,222.15,0.31,0.06
VCrNbHf,5,0.084359996,0.093350696,-4.45,6.228384271,2.971,157.32,243.16,114.39,64.38,50.37,157.32,55.98,150.13,0.34,157.32,55.18,148.2,0.34,157.32,55.58,149.17,0.34,0.01
VCrNbTa,5.25,0.056432978,0.037656367,-4.475,6.698399478,2.933,175.79,285.04,121.17,81.93,49.59,175.79,62.53,167.7,0.34,175.79,58.89,158.93,0.35,175.79,60.71,163.33,0.35,0.03
VCrNbW,5.5,0.049233907,0.174791876,-4.575,6.807062265,2.896,204.81,367.09,123.68,121.7,70.11,204.81,90.75,237.21,0.31,204.81,84.43,222.68,0.32,204.81,87.59,229.98,0.31,0.04
VCrMoHf,5.25,0.083927184,0.182041464,-4.275,6.581753516,2.928,179.44,294.74,121.79,86.48,58.01,179.44,69.4,184.42,0.33,179.44,66.81,178.3,0.33,179.44,68.1,181.36,0.33,0.02
VCrMoTa,5.5,0.048650764,0.144595368,-3.55,8.562260265,2.892,202.49,361.8,122.84,119.48,70.6,202.49,90.15,235.5,0.31,202.49,84.41,222.34,0.32,202.49,87.28,228.94,0.31,0.03
VCrMoW,5.75,0.035599929,0.161691974,-0.4,78.90749034,2.862,236.32,446.05,131.45,157.3,100.71,236.32,123.34,315.2,0.28,236.32,117.64,302.69,0.29,236.32,120.49,308.96,0.28,0.02
VCrHfTa,5,0.084359996,0.093162942,-4.575,6.398311024,2.98,160.07,243.14,118.54,62.3,64.75,160.07,63.77,168.89,0.32,160.07,63.75,168.83,0.32,160.07,63.76,168.86,0.32,0
VCrHfW,5.25,0.083636364,0.222249767,-4.925,6.180557387,2.94,186.47,298.86,130.27,84.3,68.93,186.47,75.08,198.58,0.32,186.47,74.35,196.89,0.32,186.47,74.71,197.73,0.32,0
VCrTaW,5.5,0.049233907,0.187949341,-4.225,7.739236163,2.904,211.5,362.21,136.15,113.03,77.45,211.5,91.68,240.33,0.31,211.5,88.61,233.26,0.32,211.5,90.15,236.8,0.31,0.02
VZrNbMo,5,0.075020841,0.1790173,-3.175,9.03629214,3.028,147.23,241.01,100.35,70.33,42.3,147.23,53.51,143.19,0.34,147.23,50.32,135.53,0.35,147.23,51.92,139.37,0.34,0.03
VZrNbHf,4.5,0.074814521,0.10289975,0.175,157.5227231,3.121,130.06,179.96,105.11,37.42,57.6,130.06,49.53,131.85,0.33,130.06,47.38,126.75,0.34,130.06,48.45,129.31,0.33,0.02
VZrNbTa,4.75,0.069290603,0.077329205,0.225,132.5577964,3.081,136.56,203.89,102.89,50.5,54.62,136.56,52.97,140.71,0.33,136.56,52.89,140.53,0.33,136.56,52.93,140.62,0.33,0
VZrNbW,5,0.073841651,0.220828919,-4.75,6.524731873,3.036,156.63,250.16,109.86,70.15,53.97,156.63,60.44,160.65,0.33,156.63,59.45,158.32,0.33,156.63,59.94,159.49,0.33,0.01
VZrMoHf,4.75,0.083325514,0.215223993,-4.075,6.868015414,3.074,142.22,212.93,106.87,53.03,56.54,142.22,55.14,146.49,0.33,142.22,55.08,146.36,0.33,142.22,55.11,146.42,0.33,0
VZrMoTa,5,0.075020841,0.187530327,-3.275,9.235478007,3.035,153.87,245.69,107.95,68.87,55.66,153.87,60.94,161.5,0.33,153.87,60.28,159.96,0.33,153.87,60.61,160.73,0.33,0.01
VZrMoW,5.25,0.077775478,0.219414313,-5,6.282632534,2.995,177.37,300.42,115.84,92.29,61.68,177.37,73.92,194.72,0.32,177.37,71.11,188.19,0.32,177.37,72.52,191.46,0.32,0.02
VZrHfTa,4.5,0.074814521,0.092780481,-0.375,77.65983858,3.131,113.94,159.75,91.04,34.35,68.46,113.94,54.82,141.72,0.29,113.94,49,128.57,0.31,113.94,51.91,135.19,0.3,0.06
VZrHfW,4.75,0.081819473,0.258003212,-5.6,5.408823512,3.081,151.78,221.37,116.99,52.19,67.42,151.78,61.33,162.15,0.32,151.78,60.38,159.93,0.32,151.78,60.85,161.04,0.32,0.01
VZrTaW,5,0.073841651,0.230405987,-4.825,6.745790533,3.042,163.31,254.89,117.53,68.68,67.39,163.31,67.91,178.92,0.32,163.31,67.9,178.91,0.32,163.31,67.9,178.92,0.32,0
VNbMoHf,5,0.064343691,0.185128126,-2.25,13.2352896,3.024,166.08,261.88,118.18,71.85,55.9,166.08,62.28,166.08,0.33,166.08,61.35,163.87,0.34,166.08,61.81,164.97,0.33,0.01
VNbMoTa,5.25,0.034057694,0.149280502,-3.15,10.17092992,2.986,186.76,306.12,127.08,89.52,54.94,186.76,68.77,183.76,0.34,186.76,64.98,174.69,0.34,186.76,66.88,179.24,0.34,0.03
VNbMoW,5.5,0.028737255,0.17049356,-4,8.301350362,2.951,213.86,386.16,127.71,129.23,75.28,213.86,96.86,252.46,0.3,213.86,90.37,237.63,0.31,213.86,93.61,245.08,0.31,0.03
VNbHfTa,4.75,0.059233449,0.085643458,0.65,47.56104346,3.072,148.18,217.92,113.32,52.3,67.46,148.18,61.39,161.83,0.32,148.18,60.45,159.64,0.32,148.18,60.92,160.74,0.32,0.01
VNbHfW,5,0.063184361,0.226429049,-3.7,8.670716336,3.033,175.33,270.32,127.83,71.25,67.45,175.33,68.97,182.92,0.33,175.33,68.92,182.81,0.33,175.33,68.95,182.87,0.33,0
VNbTaW,5.25,0.033174689,0.19328137,-4.625,7.425011482,2.995,195.59,313.83,136.46,88.68,65.55,195.59,74.8,199.03,0.33,195.59,73.18,195.21,0.33,195.59,73.99,197.12,0.33,0.01
VMoHfTa,5,0.064343691,0.193253168,-2.3,13.62407153,3.029,173.43,267.21,126.53,70.34,69.33,173.43,69.74,184.48,0.32,173.43,69.73,184.47,0.32,173.43,69.73,184.48,0.32,0
