Alloys,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR
TiVNbHf,4.5,0.059129814,0.085461037,0.3,90.09217447,3.054,136.87,187.18,111.72,37.73,60.44,136.87,51.35,136.94,0.33,136.87,48.71,130.64,0.34,136.87,50.03,133.8,0.34,0.03
TiVNbTa,4.75,0.036357885,0.032333549,-0.075,390.4890667,3.013,149.4,221.17,113.52,53.83,60.26,149.4,57.69,153.33,0.33,149.4,57.51,152.91,0.33,149.4,57.6,153.12,0.33,0
TiVNbW,5,0.036749532,0.187933056,-3.875,7.859007018,2.969,174.39,275.26,123.95,75.66,62.92,174.39,68.01,180.57,0.33,174.39,67.46,179.27,0.33,174.39,67.74,179.92,0.33,0
TiVMoHf,4.75,0.064883708,0.18955982,-2.825,9.716226058,3.004,152.67,224.85,116.58,54.14,60.11,152.67,57.72,153.79,0.33,152.67,57.57,153.43,0.33,152.67,57.65,153.61,0.33,0
TiVMoTa,5,0.037726937,0.155466769,-2.45,12.12545562,2.967,171.64,270.79,122.07,74.36,64.01,171.64,68.15,180.56,0.32,171.64,67.79,179.7,0.33,171.64,67.97,180.13,0.33,0
TiVMoW,5.25,0.034305386,0.180126329,-3,10.29144616,2.928,198.94,331.56,132.62,99.47,72.14,198.94,83.07,218.77,0.32,198.94,81.05,214.07,0.32,198.94,82.06,216.42,0.32,0.01
TiVHfTa,4.5,0.059129814,0.080871743,-0.1,285.8361527,3.061,143.04,189.14,120,34.57,71.92,143.04,56.98,150.9,0.32,143.04,50.21,134.86,0.34,143.04,53.6,142.94,0.33,0.06
TiVHfW,4.75,0.063643358,0.231661089,-4.15,7.168816257,3.014,162.39,234.56,126.31,54.13,73.17,162.39,65.56,173.34,0.32,162.39,64.15,170.05,0.33,162.39,64.85,171.7,0.32,0.01
TiVTaW,5,0.036749532,0.199729891,-3.8,8.423582927,2.977,180.9,278.99,131.85,73.57,76.92,180.9,75.58,199.02,0.32,180.9,75.54,198.94,0.32,180.9,75.56,198.98,0.32,0
TiCrZrNb,4.75,0.086682206,0.081157213,-5.25,4.93901601,3.026,121.88,185.98,89.83,48.07,45.81,121.88,46.72,124.28,0.33,121.88,46.69,124.21,0.33,121.88,46.7,124.24,0.33,0
TiCrZrMo,5,0.090572478,0.18250258,-7.275,3.62206465,2.976,140.75,231.22,95.51,67.86,49.14,140.75,56.63,149.79,0.32,140.75,55.24,146.54,0.33,140.75,55.93,148.17,0.32,0.01
