Alloy,e/a,delta_r,delta_X,delta_H,Omega,sws,B,c11,c12,c,c44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR,Compostion
TiVCrZrMo,5.05,0.293878802,0.119816526,-5.923031494,5.158001723,2.947,149.37,247.35,100.38,73.49,48.42,149.37,58.45,155.11,0.33,149.37,56.07,149.51,0.33,149.37,57.26,152.31,0.33,0.02,2015202025
TiVCrZrMo,4.95,0.283052999,0.127200629,-6.318839078,4.754230067,2.967,138.86,224.8,95.88,64.46,46.87,138.86,53.91,143.19,0.33,138.86,52.62,140.15,0.33,138.86,53.26,141.67,0.33,0.01,2015202520
TiVCrZrMo,5.05,0.273431436,0.123890072,-6.422971186,4.682526361,2.934,147.72,244.4,99.37,72.51,47.32,147.72,57.4,152.44,0.33,147.72,54.95,146.67,0.33,147.72,56.17,149.56,0.33,0.02,2015252020
TiVCrZrMo,4.95,0.248754397,0.121671689,-5.763031494,5.136956117,2.934,142.56,229.72,98.99,65.36,46.08,142.56,53.79,143.35,0.33,142.56,52.25,139.67,0.34,142.56,53.02,141.52,0.33,0.01,2025202015
TiVCrZrMo,5.05,0.262828842,0.112231903,-5.278804118,5.704745077,2.914,154.01,253.44,104.3,74.57,47.33,154.01,58.23,155.13,0.33,154.01,55.43,148.48,0.34,154.01,56.83,151.81,0.34,0.02,2025201520
TiVCrZrMo,4.95,0.273639818,0.117451054,-5.236734037,5.743983642,2.947,144.2,232.7,99.95,66.37,47.05,144.2,54.78,145.87,0.33,144.2,53.25,142.25,0.34,144.2,54.02,144.06,0.33,0.01,2025152020
TiVCrZrMo,5.1,0.292224229,0.120344298,-5.685317208,5.401922722,2.937,152.9,256.02,101.34,77.34,47.6,152.9,59.49,157.99,0.33,152.9,56.25,150.31,0.34,152.9,57.87,154.17,0.33,0.03,1520202025
TiVCrZrMo,5,0.281997784,0.128307248,-6.150746564,4.910274221,2.956,141.98,232.64,96.64,68,45.72,141.98,54.63,145.26,0.33,141.98,52.62,140.49,0.34,141.98,53.62,142.88,0.33,0.02,1520202520
TiVCrZrMo,5.1,0.272066168,0.124112852,-6.165583542,4.904056404,2.923,151.35,253.15,100.45,76.35,46.43,151.35,58.39,155.22,0.33,151.35,55.06,147.31,0.34,151.35,56.73,151.28,0.33,0.03,1520252020
TiVCrZrMo,5.05,0.272199835,0.12118065,-5.6241307,5.376539493,2.93,149.42,246.5,100.88,72.81,45.95,149.42,56.69,150.98,0.33,149.42,53.9,144.35,0.34,149.42,55.3,147.67,0.34,0.03,1525202020
TiVCrZrMo,4.9,0.249661771,0.121015495,-5.922142605,4.971815826,2.945,139.19,221.5,98.03,61.73,47.32,139.19,53.08,141.29,0.33,139.19,52.19,139.18,0.33,139.19,52.64,140.24,0.33,0.01,2520202015
TiVCrZrMo,5,0.264395064,0.112217423,-5.50940208,5.436813979,2.925,150.34,244.62,103.2,70.71,48.35,150.34,57.3,152.51,0.33,150.34,55.35,147.91,0.34,150.34,56.32,150.21,0.33,0.02,2520201520
TiVCrZrMo,4.9,0.274874517,0.116464587,-5.378409884,5.562810892,2.958,140.88,224.62,99,62.81,48.24,140.88,54.07,143.81,0.33,140.88,53.17,141.69,0.33,140.88,53.62,142.75,0.33,0.01,2520152020
TiVCrZrMo,4.95,0.274799472,0.119994792,-6.021329113,4.968518603,2.951,142.59,230.21,98.77,65.72,48.13,142.59,55.16,146.58,0.33,142.59,53.9,143.6,0.33,142.59,54.53,145.09,0.33,0.01,2515202020
TiVCrZrTa,4.85,0.107306803,0.111815697,-4.574085754,6.973018497,2.979,141.03,214.15,104.47,54.84,58.17,141.03,56.84,150.33,0.32,141.03,56.79,150.22,0.32,141.03,56.82,150.27,0.32,0,2020201525
TiVCrZrTa,4.75,0.124469876,0.12677835,-5.290110761,5.737598766,2.998,126.9,189.99,95.36,47.31,53.39,126.9,50.96,134.83,0.32,126.9,50.78,134.42,0.32,126.9,50.87,134.63,0.32,0,2020202515
TiVCrZrTa,4.75,0.112889326,0.114100833,-3.782210338,8.423822199,3.012,133.61,197.58,101.63,47.97,58.68,133.61,54.4,143.69,0.32,133.61,53.87,142.46,0.32,133.61,54.13,143.08,0.32,0,2020152025
TiVCrZrTa,4.7,0.120518671,0.120742495,-4.088871382,7.603404144,3.022,126.96,186.13,97.37,44.38,56.48,126.96,51.64,136.42,0.32,126.96,50.93,134.76,0.32,126.96,51.28,135.59,0.32,0.01,2020152520
TiVCrZrTa,4.85,0.119498954,0.124655525,-5.924814582,5.128776558,2.964,134.92,207.37,98.69,54.34,52.62,134.92,53.31,141.32,0.33,134.92,53.3,141.29,0.33,134.92,53.3,141.3,0.33,0,2020252015
TiVCrZrTa,4.9,0.109921563,0.116313155,-5.510199291,5.654673141,2.955,142.31,219.83,103.55,58.14,55.1,142.31,56.32,149.26,0.33,142.31,56.28,149.17,0.33,142.31,56.3,149.22,0.33,0,2020251520
TiVCrZrTa,4.8,0.11447598,0.118087891,-4.678170383,6.810071764,3.005,134.97,202.49,101.21,50.64,58.22,134.97,55.19,145.71,0.32,134.97,54.93,145.11,0.32,134.97,55.06,145.41,0.32,0,2015202025
TiVCrZrTa,4.75,0.122110606,0.124755761,-5.008433434,6.207000781,3.015,128.21,190.72,96.96,46.88,55.71,128.21,52.17,137.83,0.32,128.21,51.8,136.96,0.32,128.21,51.99,137.4,0.32,0,2015202520
TiVCrZrTa,4.85,0.117952321,0.123380509,-5.75305937,5.409620412,2.981,135.4,207,99.61,53.69,55.14,135.4,54.56,144.3,0.32,135.4,54.55,144.27,0.32,135.4,54.55,144.29,0.32,0,2015252020
TiVCrZrTa,4.8,0.118164081,0.121304369,-5.124781494,5.929821895,2.971,133.34,202.12,98.96,51.58,53.22,133.34,52.57,139.39,0.33,133.34,52.56,139.36,0.33,133.34,52.56,139.37,0.33,0,2025202015
TiVCrZrTa,4.85,0.108586371,0.112977874,-4.736781442,6.578384012,2.962,140.57,214.49,103.61,55.44,55.76,140.57,55.63,147.44,0.33,140.57,55.63,147.44,0.33,140.57,55.63,147.44,0.33,0,2025201520
TiVCrZrTa,4.75,0.115042383,0.116072176,-4.055201157,7.675537893,2.996,132.42,196.91,100.18,48.37,56.38,132.42,53.18,140.7,0.32,132.42,52.88,140,0.32,132.42,53.03,140.35,0.32,0,2025152020
TiVCrZrTa,4.85,0.116704756,0.119578426,-4.741983875,6.752303347,2.995,137.8,209.67,101.86,53.9,56.85,137.8,55.67,147.19,0.32,137.8,55.63,147.1,0.32,137.8,55.65,147.15,0.32,0,1520202025
TiVCrZrTa,4.8,0.12451004,0.1266047,-5.082055206,6.148691136,3.004,130.83,197.77,97.37,50.2,54.45,130.83,52.75,139.51,0.32,130.83,52.67,139.31,0.32,130.83,52.71,139.41,0.32,0,1520202520
TiVCrZrTa,4.9,0.119816526,0.124338248,-5.737386011,5.45239677,2.971,138.47,214.53,100.44,57.05,53.79,138.47,55.1,145.93,0.32,138.47,55.05,145.83,0.32,138.47,55.07,145.88,0.32,0,1520252020
TiVCrZrTa,4.85,0.118459909,0.121007231,-4.938352923,6.335006189,2.978,136.93,209.47,100.65,54.41,54.39,136.93,54.4,144.11,0.32,136.93,54.4,144.11,0.32,136.93,54.4,144.11,0.32,0,1525202020
TiVCrZrTa,4.75,0.116292734,0.120079141,-5.101856891,5.924980767,2.982,130.22,194.42,98.12,48.15,54.52,130.22,51.97,137.6,0.32,130.22,51.78,137.15,0.32,130.22,51.87,137.38,0.32,0,2520202015
TiVCrZrTa,4.8,0.106905332,0.112155027,-4.725157182,6.56057112,2.973,137.42,206.58,102.83,51.88,56.86,137.42,54.86,145.26,0.32,137.42,54.75,145,0.32,137.42,54.81,145.13,0.32,0,2520201520
TiVCrZrTa,4.7,0.112800709,0.114280357,-3.954654782,7.830067172,3.006,129.65,189.73,99.61,45.06,57.57,129.65,52.57,138.92,0.32,129.65,51.82,137.17,0.32,129.65,52.19,138.05,0.32,0.01,2520152020
TiVCrZrTa,4.75,0.114362363,0.118290955,-4.851614827,6.382044394,2.999,131,194.54,99.23,47.66,56.89,131,53.19,140.56,0.32,131,52.8,139.63,0.32,131,53,140.09,0.32,0,2515202020
TiVCrZrW,5.1,0.364382697,0.111007883,-6.236304118,5.329977796,2.936,165.83,268.84,114.33,77.26,61.62,165.83,67.88,179.18,0.32,165.83,67.05,177.26,0.32,165.83,67.46,178.22,0.32,0.01,2020201525
TiVCrZrW,4.9,0.32206948,0.127768345,-6.917339078,4.504483498,2.969,140.53,220.39,100.59,59.9,53.93,140.53,56.32,149.05,0.32,140.53,56.17,148.7,0.32,140.53,56.24,148.87,0.32,0,2020202515
TiVCrZrW,5,0.375631468,0.115602768,-6.416519751,5.174899573,2.967,156.55,248.97,110.35,69.31,60.54,156.55,64.05,169.08,0.32,156.55,63.77,168.43,0.32,156.55,63.91,168.76,0.32,0,2020152025
TiVCrZrW,4.9,0.357111677,0.122860693,-6.622587683,4.856815112,2.984,144.46,225.67,103.86,60.9,57.07,144.46,58.61,154.87,0.32,144.46,58.55,154.73,0.32,144.46,58.58,154.8,0.32,0,2020152520
TiVCrZrW,5,0.313462916,0.124402572,-6.967693409,4.476884251,2.936,149.28,239.32,104.27,67.53,54.07,149.28,59.45,157.45,0.32,149.28,58.75,155.82,0.33,149.28,59.1,156.64,0.33,0.01,2020252015
TiVCrZrW,5.1,0.33724583,0.114911923,-6.487848069,4.968321996,2.92,162.54,264.53,111.55,76.49,58.31,162.54,65.58,173.43,0.32,162.54,64.44,170.75,0.32,162.54,65.01,172.09,0.32,0.01,2020251520
TiVCrZrW,5.05,0.375252915,0.119099748,-6.925948161,4.793979564,2.96,158.23,254.51,110.1,72.21,60.59,158.23,65.24,172.07,0.32,158.23,64.76,170.95,0.32,158.23,65,171.51,0.32,0,2015202025
TiVCrZrW,4.95,0.356929965,0.126475294,-7.228680347,4.449317306,2.977,145.83,230.64,103.42,63.61,56.79,145.83,59.52,157.17,0.32,145.83,59.34,156.75,0.32,145.83,59.43,156.96,0.32,0,2015202520
TiVCrZrW,5.05,0.347454673,0.123429129,-7.195034678,4.474920715,2.945,154.43,249.49,106.9,71.3,57.39,154.43,62.95,166.26,0.32,154.43,62.25,164.62,0.32,154.43,62.6,165.44,0.32,0.01,2015252020
TiVCrZrW,4.95,0.313574154,0.121304369,-6.409638637,4.866974572,2.943,147.63,233.79,104.55,64.62,54.26,147.63,58.4,154.8,0.33,147.63,57.98,153.8,0.33,147.63,58.19,154.3,0.33,0,2025202015
